21114-1,The Farm,2014,577,262
30521-1,The Mini Batmobile,2017,484,68
3407-1,Red Bus,2000,462,130
4282-1,Classic Trial Size,1999,470,37
7958-16,Advent Calendar 2011 Star Wars (Day 15) - Republic Gunship,2011,225,14
8299-1,Search Sub With CDROM,1997,10,371
9781338387445-1,The LEGO Movie 2: Vest Friends,2019,497,10
10749-1,Mia's Organic Food Market,2018,595,115
1263-1,Easter Bunny,2000,229,29
3279-1,Busy Bob,2002,626,10
41016-16,"Advent Calendar 2013, Friends (Day 15) - Bench",2013,226,11
42097-1,Compact Crawler Crane,2019,7,0
6175-1,Crystal Explorer Sub,1995,308,167
654-1,Crane Lorry,1973,416,33
71023-9,Flashback Lucy,2019,675,7
7647-1,MX-41 Switch Fighter,2008,137,234
7818-1,Passenger Carriage,1980,235,115
8633-1,Mission 4: Speedboat Rescue,2008,302,339
911616-1,MTT,2016,158,44
9472-1,Attack on Weathertop,2012,567,430
K4103-1,Creator Bucket bundled with 4782 (TRU Exclusive),2005,674,2
10895-1,Emmet and Lucy's Visitors from the DUPLO Planet,2019,504,51
1151-1,Train Power Pick-Up Blocks,1977,456,2
1422-1,Camera Cart (Kabaya Promotional),2001,273,20
211902-1,Robin,2019,484,7
3926-1,Martian Key Chain,2002,503,0
41521-1,Footi,2014,583,72
4868-1,Rahaga Gaaki,2005,342,28
4886-1,Building Bonanza,2004,205,667
520-13,2 x 2 Plates - Trans-Clear (architectural hobby und modelbau version),1962,252,42
691-1,Rescue Helicopter,1974,417,62
8052-1,Container Truck,2010,7,686
9615-1,Motor Add-On for Simple Mechanisms,1997,507,3
970610-1,3-Stud Axles (Pack of 100),2002,525,100
